,0
0,3663.6116631266195
1,6293.234022103483
2,11029.375729327847
3,16433.94243665063
4,4507.162155865342
5,15545.174166497542
6,9127.88495269214
7,12153.23379350605
8,4156.1834177250275
9,1109.4941905460437
10,4253.34716155997
11,4020.2498454875313
12,8801.709571238142
13,15032.442420849344
14,17807.149347289116
15,16708.372692163684
16,16782.64680447546
17,17319.735775830282
18,9527.14988393063
19,17570.9277641605
20,2432.0513960476965
21,2753.811440258287
22,16723.959965654998
23,6908.8663380938815
24,3998.8844608356594
25,17922.055484362412
26,5548.3070437524
27,17564.338213505398
28,16339.109215697565
29,10569.108685826359
30,4385.372496848868
31,18536.67556462239
32,8052.253518053505
33,8889.762217685347
34,3900.1636683146935
35,17142.31822227355
36,11141.340401968686
37,10404.16728186456
38,16156.155387596402
39,7212.116483541089
40,5438.938941693748
41,16195.522449887067
42,4171.536325414723
43,11398.737487309321
44,62573.930401108984
45,3420.246058758523
46,7307.438071792771
47,3193.040782423108
48,8288.2106780092
49,17203.33362810366
50,8077.488563609717
51,14821.44334441179
52,14775.983700263489
53,16261.180886867747
54,3174.7689714471344
55,10475.997901531635
56,17371.848265266162
57,10671.137794428796
58,6851.9384417660185
59,11136.20994080248
60,17963.337445382145
